Seq#,Race,Year,Men,Women,Total
1,American Indian or Alaska Native,2020,8,14,22
2,Asian,2020,150,138,288
3,Black or African American,2020,751,1492,2243
4,Hispanic,2020,299,330,629
5,Native Hawaiian or Other Pacific Islander,2020,6,10,16
6,White,2020,1777,2352,4129
7,Two or more races,2020,109,141,250
8,Race/ethnicity unknown,2020,220,219,439
9,Nonresident alien,2020,98,83,181
10,American Indian or Alaska Native,2019,11,16,27
11,Asian,2019,142,132,274
12,Black or African American,2019,1028,1941,2969
13,Hispanic,2019,349,408,757
14,Native Hawaiian or Other Pacific Islander,2019,8,12,20
15,White,2019,2095,2625,4720
16,Two or more races,2019,122,168,290
17,Race/ethnicity unknown,2019,241,282,523
18,Nonresident alien,2019,156,124,280
19,American Indian or Alaska Native,2018,15,16,31
20,Asian,2018,168,139,307
21,Black or African American,2018,1285,2437,3722
22,Hispanic,2018,407,465,872
23,Native Hawaiian or Other Pacific Islander,2018,17,13,30
24,White,2018,2455,2787,5242
25,Two or more races,2018,121,184,305
26,Race/ethnicity unknown,2018,251,307,558
27,Nonresident alien,2018,204,135,339
28,American Indian or Alaska Native,2017,18,16,34
29,Asian,2017,168,154,322
30,Black or African American,2017,1502,2860,4362
31,Hispanic,2017,461,506,967
32,Native Hawaiian or Other Pacific Islander,2017,16,13,29
33,White,2017,2798,2904,5702
34,Two or more races,2017,142,188,330
35,Race/ethnicity unknown,2017,304,352,656
36,Nonresident alien,2017,194,140,334
37,American Indian or Alaska Native,2016,30,20,50
38,Asian,2016,239,187,426
39,Black or African American,2016,1664,3315,4979
40,Hispanic,2016,478,599,1077
41,Native Hawaiian or Other Pacific Islander,2016,18,17,35
42,White,2016,3079,3004,6083
43,Two or more races,2016,146,181,327
44,Race/ethnicity unknown,2016,437,454,891
45,Nonresident alien,2016,19,19,38
